skill1,skill2,skill3,skill4,skill5,skill6,skill7,skill8,skill9,skill10,skill11,skill12,skill13,skill14,skill15,Job Role,Root Node,Technology,Description
linear algebra,statistics,calculus,Neural Networks,Natural Language Processing (NLP),TensorFlow,Scikit,python,r,data visualization tools,Data Modeling,Artificial Intelligence,,,,Machine Learning Engineer,Artificial Intelligence,Artificial Intelligence,"Machine Learning Engineers are technically proficient programmers who research, build, and design self-running software to automate predictive models. An ML Engineer builds artificial intelligence (AI) systems that leverage huge data sets to generate and develop algorithms capable of learning and eventually making predictions.Each time the software performs an operation, it “learns” from those results to carry out future operations more accurately.Designing machine learning systems requires that the Machine Learning Engineer assess, analyze, and organize data, execute tests, and optimize the learning process to help develop high-performance machine learning models."
Alteryx,Improvado,Data mining,powerbi,SaaS,Hadoop Ecosystem,hive hql,Descriptive analysis,data visualization tools,Artificial Intelligence,,,,,,Business Intelligence Developer,Artificial Intelligence,Artificial Intelligence,"The main role of a BI developer is to develop, deploy, and maintain BI tools and interfaces. They are also responsible for simplifying highly technical language and complex information into layman’s terms for everyone else in the company to understand.When it comes to making important decisions in the organization, BI developers provide quantifiable solutions to complex problems instead of having organizations to merely rely on their gut instincts. As such, they must be able to understand and work with all kinds of data, including historical data stored in data warehouses as well as new data gathered from sources as soon as it is generated."
Python,Lisp,Prolog,R,C++,Java,Analytics,Artificial Intelligence,Data Science,Neural Networks,,,,,,AI Researcher,Artificial Intelligence,Artificial Intelligence,"AI researchers explore new ways and create new systems of solving-problems, while data scientists tweak and apply these systems in real-world scenarios. Thus a team of AI researchers can create an AI system that can potentially be used by hundreds of data scientists in different situations."
Analytics,Data Analysis,Statistics,Data Structures and Algorithms,Data Modeling,Relational Databases,NoSQL,Data Warehousing,,,,,,,,Predictive Analyst,Statistics and Analytics,Predictive Analytics,"Predictive analytics is a branch of advanced analytics that makes predictions about future outcomes using historical data combined with statistical modeling, data mining techniques and machine learning. Companies employ predictive analytics to find patterns in this data to identify risks and opportunities.Predictive analytics is often associated with big data and data science. Companies today are swimming in data that resides across transactional databases, equipment log files, images, video, sensors or other data sources. To gain insights from this data, data scientists use deep learning and machine learning algorithms to find patterns and make predictions about future events. These include linear and nonlinear regression, neural networks, support vector machines and decision trees. Learnings obtained through predictive analytics can then be used further within prescriptive analytics to drive actions based on predictive insights."
Apache Spark,flume,Big Data,Apache,Hadoop,R,Python,Statistics,Data Mining,Analytics,,,,,,Predictive Modelling Role,Statistics and Analytics,Predictive Analytics,"In short, predictive modeling is a statistical technique using machine learning and data mining to predict and forecast likely future outcomes with the aid of historical and existing data. It works by analyzing current and historical data and projecting what it learns on a model generated to forecast likely outcomes."
statistics,Machine Learning,Analytics,Deep Learning,Data Mining,Data Visualization tools,Big Data,Data Science,Python,Perl,C,C++,SQL,Java,Hadoop,Data Scientist,Statistics and Analytics,Predictive Analytics,"More generally, a data scientist is someone who knows how to extract meaning from and interpret data, which requires both tools and methods from statistics and machine learning, as well as being human. She spends a lot of time in the process of collecting, cleaning, and munging data, because data is never clean. This process requires persistence, statistics, and software engineering skills—skills that are also necessary for understanding biases in the data, and for debugging logging output from code."
Agile Development,DevOps,Software Development,Problem Solving,Project Management Skills,,,,,,,,,,,DevOp Evangalist,DevOps,DevOps,"As a change agent, the DevOps evangelist ensures buy-in from development and operational teams, identifies the key roles to support DevOps delivery methods, and makes sure IT professionals are trained and empowered to make those changes, says Nagisetty."
Project Management Skills,Operating Systems,Continuous Integration,DevOps,Agile Development,Software Development Life Cycle (SDLC),Visual studio,Operating Systems,System Architecture,Problem Solving,Analytics,Java,Python,,,DevOps Release Manager,DevOps,DevOps,"Release Manager, in DevOps, is responsible for scheduling, planning, and controlling the software's development and delivery process. As a Release Manager, you will be responsible for handling the DevOps team to make them deliver the services on time and will manage both IT operations and developers."
DevOps,Continuous Integration,Version Control Systems,Java,Javascript,Ruby,Python,PHP,bash,Debugging,Operating Systems,Linux,Continuous Monitoring,Cloud Computing,C++,DevOps Engineer,DevOps,DevOps,"DevOps engineers reduce that complexity, closing the gap between actions needed to quickly change an application, and the tasks that maintain its reliability.Development teams and IT operations teams can have different skills and different goals. Developers want to introduce new features to an application, while operations teams want to preserve the stability of an application once it is released. DevOps is all about the unification and automation of processes, and DevOps engineers are instrumental in combining code, application maintenance, and application management. All of these tasks rely on understanding not only development life cycles, but DevOps culture, and its philosophy, practices, and tools. 

"
IOT,Customer Relationship Management,Firmware Development,Product Enhancement,Project Management Skills,Information Security,Infrastructure Security,Agile Development,,,,,,,,Chief Internet of Things Officer,IOT,Internet Of Things,"The time is here for businesses to proactively seek leadership that can not only lead the technology team, but also support business forecasting and weather a nearly random market. This is a role that you need: the CIOTO.Others in this space see the CIOTO position as a natural outcropping of what IT has done well over the past decade—become a business partner, with enterprise-wide, strategy enabling abilities."
Graphic Design,IOT,Javascript,CSS3,HTML5,Java,CAD,Figma,Agile Develpment,Adobe XD,UI/ UX Design,,,,,Industrial UI/UX designer,IOT,Internet Of Things,"The UI UX Designer helps create products with a good user experience. They are responsible for understanding what users want from their device and then designing it so they can find all of its features easily without any hassle. They also make sure everything works properly when combined in one package.UI UX designers create the user interface for an app, website, or other interactive media. Their work includes collaborating with product managers and engineers to gather requirements from users before designing ideas that can be communicated using storyboards. They also process flows or sitemaps. They'll then use their creativity while applying color palettes based on what best fits into a particular design conceptually."
Analytics,Network security,Networking,python,ruby,perl,ansible,linux,network infrastructure,automation,virtualization,mpls,IOT,,,Industrial Networking engineer,IOT,Internet Of Things,"Network Engineers primarily handle installing, configuring, and supporting firewalls to ensure network security. They are also responsible for procuring equipment like routers or switches, which provides the best possible efficiency in an office's IT infrastructure.Network Engineers are responsible for ensuring that networks have maximum uptime, providing fast and reliable connections for employees to get their work done promptly. They keep up these connections without delays or errors due to affected network traffic from going offline."
python,java,c,c++,Object-oriented design,software testing,Software Development,IOT,Software Development Life Cycle (SDLC),,,,,,,IOT Software Engineer,IOT,Internet Of Things,"The primary task of an IoT engineer is the creation and development of the devices, sensors and software that allows the device to connect seamlessly with other systems. They research, create, test and document IoT solutions with integrated systems and devices.Though the tasks of IoT engineers vary depending on the industry they work in, their duties can include designing, coding, and testing features of devices meant to connect to other systems and devices."
machine learning,Artificial Intelligence,sensors,IOT,Infrastructure Security,Big Data,CAD,Cloud Computing,python,javascript,Node.js,aws,azure,service-oriented architectures,component architectures,IOT Architect,IOT,Internet Of Things,"IoT, or the Internet of Things, is the technology of connecting any device to the Internet and to other connected devices. This can include smart sensors, phones, appliances, cameras, wearable technology, and cars. An IoT architect sorts through all the data transmitted between networks from the various machines and gadgets used every day by millions of people. IoT architects help organizations fix business problems by designing IoT solutions. They are also responsible for creating and communicating the IoT concept, message, and architecture."
cloud computing,openstack,azure,information security,java,python,ruby,php,aws,google cloud,web services,devops,docker,kubernetes,virtualization,cloud developer,cloud computing,Cloud Computing,A cloud developer's main job is to work on cloud application development projects. You can think of a cloud developer as a cloud engineer because they develop programs and software for the virtual and global cloud network. A cloud developer does everything that computer programmers and web designers do.
Python,PowerShell,DevOps,Cloud Computing,Cyber Security,operating systems,,,,,,,,,,Security Analyst for Cloud Computing,cloud computing,Cloud Computing,"Assist in the design and build of cloud security architectures, ensuring security is a core part of the design and development of the clients' cloud solutions. Review our clients' existing cloud security measures and processes, advising on best practices and recommendations based on leading industry insights."
Apache spark,excel,mysql,tableau,python,machine learning,hadoop,hive hql,powerbi,flume,r,amazon redshift,aws,deep learning,cloud computing,cloud data scientist,cloud computing,Cloud Computing,"Data science involves the application of various tools, data mining, statistical techniques, algorithms and machine learning principles to identify trends, patterns and insights from raw data. Data scientists extract meaning from data, uncover insights and identify opportunities to inform business decision making.Building a data science capability has become a priority for many organisations due to the immense value big data can deliver. This has resulted in strong demand for skilled data scientists across a wide range of industries and professions."
java,python,c#,Cloud Computing,Networking,DevOps,Network security,Database,,,,,,,,Cloud Architect,cloud computing,Cloud Computing,"Cloud computing architecture refers to the components and subcomponents required for cloud computing. These components typically consist of a front end platform, back end platforms, a cloud-based delivery, and a network. Combined, these components make up cloud computing architecture. Cloud solutions design is based on architectural procedures and methods that have been developed over the last 20 or so years.A Cloud Architect is responsible for converting the technical requirements of a project into the architecture and design that will guide the final product. Often, Cloud Architects are also responsible for bridging the gaps between complex business problems and solutions in the cloud. Other members of a technology team, including DevOps engineers and developers, work with the Cloud Architect to ensure that the right technology or technologies are being built."
Automation,aws,DevOps,Linux,Continuous Monitoring,Docker,Ansible,Continuous Integration,Kubernetes,Python,Azure,,Cloud Computing,,,DevOps Cloud Engineer,cloud computing,Cloud Computing,"DevOps Engineers are conversant with all the technical as well as IT operations aspects for integrated operations. They are expected to know about the various automation tools which may be required for process automation and testing.When we begin discussing the DevOps engineer job description, we may begin by saying that the role of a DevOps engineer is critical to the project’s overall success, right from planning to support primary KPI as customer satisfaction and productivity. A DevOps Engineer Expert has an essential role in integrating the project functions and resources across the product life cycle, right from planning, building, testing, and deployment to support."
Analytics,Network security,Networking,python,ruby,perl,ansible,linux,network infrastructure,automation,virtualization,cloud computing,,,,cloud Networking engineer,cloud computing,Cloud Computing,"A network engineer is typically responsible for designing, building, and implementing standard networks, for example, whereas a cloud network engineer focuses almost solely on cloud-based solutions. However, there is some crossover in terms of the two roles."
Database,Database Architecture,Relational Databases,Problem Solving,Source Code Management,Oracle,Disaster Recovery,SQL,Linux,NoSQL,Troubleshooting,MySQL,SQL Server,cloud computing,,cloud Database Administrator,cloud computing,Cloud Computing,"Database administration includes responsibility for ensuring the ongoing operational functionality and efficiency of an organization’s databases and the applications that access those databases. Traditionally, for the DBA, this has meant becoming an expert about “all things” related to a particular database management system (DBMS), such as Microsoft SQL Server, Oracle, IBM Db2, and others, and that the DBMS was installed on-premise on physical servers. However, cloud computing is changing the traditional role of the DBA as cloud providers deliver some of the management services heretofore delivered by DBAs.The general idea behind cloud computing is that IT resources such as computing power, database services, applications, and storage are delivered by a service provider over the internet with pay-as-you-use pricing. Organizations are shifting to the cloud for many reasons, but the most prominent are the promise of cost reduction and improved scalability."
java,c#,Javascript,swift,Software Development,XR SDKs,Machine Learning,computer vision,UX Design,3D Modelling,graphic design,,,,,AR/VR Designer,"XR SDKS,AR/VR",Virtual Reality and Augmented Reality,"Virtual technologies are actively developing and improving, and specialists in this area are becoming more and more in demand in the market. What’s more, the sphere of activity of such specialists is not limited to entertainment and game development. VR / AR technologies are used in sales, education, medicine, engineering, and even in the military industry. Maybe you should considering a career as VR Designer.Is the profession of a VR / AR designer promising? Definitely yes! Therefore, if you are attracted to the world of virtual reality and your imagination is limitless, then perhaps this area is your vocation. But before you start mastering this attractive profession, you will need to know what awaits you on this professional path."
Python,Java,Javascript,C++,Ruby,Scala,Node.js,C,C#,PHP,Relational Databases,NoSQL,DevOps,XR SDKS,AR/VR,AR/VR project Manager,"XR SDKS,AR/VR",Virtual Reality and Augmented Reality,"Virtual Reality allows users an immersive experience, one where they are actually a part of the environment. Project managers can view designs in real-life proportions, experiment with various scenarios without any real-world outcomes, view charts and monitor progress. Using interactive features, users can go through various nuances of design while providing feedback, identify issues before production and view various aspects of construction from the comfort of their offices. Leveraging cloud technology, data can be accessed from anywhere allowing engineers, designers, and managers to collaborate. Risks are reduced as designs can be confirmed before construction; imagine a project without any change orders because you did the final walk through before the first wall was erected."
Web Development,Python,C++,Java,Database,Source Code Management,Data Structures and Algorithms,Testing,Debugging,Operating System,Cryptography,UI ToolKits and Frameworks,xr sdks,AR/VR,,AR/VR Software Developer,"XR SDKS,AR/VR",Virtual Reality and Augmented Reality,"Virtual reality is the fastest-growing area of the tech industry. Only a few years ago, VR jobs practically didn’t exist. Nowadays, more and more companies are realizing the potential of virtual reality."
python,java,c,c++,Object-oriented design,software testing,Software Development,Software Development Life Cycle (SDLC),,,,,,,,Software Engineer,Software Development,Software Engineer,"Software engineers design and create computer systems and applications to solve real-world problems.Successful engineers know how to use the right programming languages, platforms, and architectures to develop everything from computer games to network control systems. In addition to building their own systems, software engineers also test, improve, and maintain software built by other engineers."
data visualization tools,matlab,r,python,sql,nosql,machine learning,linear algebra,excel,Calculus,Analytics,scala,,,,Data Analyst for Data Analysis/ Engineering,Scala,Data Analysis/ Engineering,"A data analyst collects, cleans, and interprets data sets in order to answer a question or solve a problem. They work in many industries, including business, finance, criminal justice, science, medicine, and government.As advancing technology has rapidly expanded the types and amount of information we can collect, knowing how to gather, sort, and analyze data has become a crucial part of almost any industry. You’ll find data analysts in the criminal justice, fashion, food, technology, business, environment, and public sectors—among many others."
python,scala,etl,sql,nosql,apache,Apache Spark,Hadoop Ecosystem,Kafka,Amazon Redshift,elk stack,,,,,Data Engineer,Scala,Data Analysis/ Engineering,"Data engineers work in a variety of settings to build systems that collect, manage, and convert raw data into usable information for data scientists and business analysts to interpret. Their ultimate goal is to make data accessible so that organizations can use it to evaluate and optimize their performance."
C,C++,Java,Nuke,Unity,Adobe Photoshop,Maya,Linux,Zbrush,Unreal Engine,C#,,,,,Video game programmer,Unity and C#,Game Developer,"A game programmer is a software engineer, programmer, or computer scientist who primarily develops codebases for video games or related software, such as game development tools. Game programming has many specialized disciplines, all of which fall under the umbrella term of ""game programmer""."
C++,Python,Nuke,Unity,Unreal Engine,CAD,Zbrush,Maya,Quixel,Adobe Photoshop,Game Engine,Graphic Design,VFX,IOS,,Game artist,Unity and C#,Game Developer,"A games artist creates 2D and 3D art for the visual elements of a video game, such as characters, vehicles, props, scenery, background, objects, colours, textures, and clothing. All these things create the look and feel for a video game."
Game Engine,C++,Halo,Unity,Java,Javascript,Bugfixes,C#,,,,,,,,Game tester,Unity and C#,Game Developer,"A games tester tests computer games at the development stage to find out if there are any bugs in the software. They test all types of game: puzzle, adventure, role-play, platform, simulation, combat, shooters and sports. Games testers can also be known as quality assurance (QA) technicians"
CSS3,HTML5,Jquery,Javascript,Problem solving,Visual Design,SQL,Analytics,Statistics,Agile Development,Wireframing,Prototyping,User Experience,,,UX Researcher,User Experience,UX Designer,"UX researchers systematically study target users to collect and analyze data that will help inform the product design process. In order to develop products that satisfy user needs (and delight them in the process), you first need to know who your user is and what that person's needs are"
Wireframing,prototyping,Statistics,User testing,HTML5,CSS3,Javascript,Analytics,Typography,Graphic design,Agile Development,User Experience,,,,UX Designer for Web Designer,User Experience,UX Designer,"User experience (UX) design is the process design teams use to create products that provide meaningful and relevant experiences to users. This involves the design of the entire process of acquiring and integrating the product, including aspects of branding, design, usability and function."
Wireframing,UI prototyping,UX writing,Java,Analytics,CSS3,HTML5,Javascript,Jquery,Agile Development,User Experience,,,,,UX Design lead,User Experience,UX Designer,"lead User experience designer takes charge of devices interaction strategies in synchronization with clients' business goals and user goals. Your focus is on all aspects of product management including, useability, function, marketing, branding, and designing."
Prototyping,Wireframing,PHP,CSS3,HTML5,Javascript,Typography,Agile Development,Analytics,Java,Interaction design,User interface design,,,,UI Designer,User interface design,UX Designer,A user interface designer is responsible for creating the look of a website. They're tasked with designing a user interface from the user's point of view. They may be given a specific design problem and be asked to solve it.
Adobe Photoshop,HTML5,Python,video editing,C++,Typography,User interface design,Graphic design,Visual Communication,Problem Solving,PHP,Java,,,,Graphic Designer,User interface design,Web Designer,"Graphic designers create visual concepts, using computer software or by hand, to communicate ideas that inspire, inform, and captivate consumers. They develop the overall layout and production design for applications such as advertisements, brochures, magazines, and reports."
HTML5,CSS3,Javascript,Jquery,Java,Typescript,Ajax,Bootstrap,UI ToolKits and Frameworks,Git,Search Engine Optimization (SEO),Testing,Web performance optimization(WPO),Graphic Design,React.js,Front-end Developer,"HTML5, CSS3, Javascript and Kotlin",Front-end Developer,"A front-end developer builds the front-end portion of websites and web applications—that is, the part that users actually see and interact with. A front-end developer creates websites and applications using web languages such as HTML, CSS, and JavaScript allow users to access and interact with the site or app."
HTML5,CSS3,Jquery,Git,UI ToolKits and Frameworks,Java,Kotlin,React.js,Swift,Angular.js,UI/ UX Design,Flutter,Search Engine Optimization (SEO),Bootstrap,Web performance optimization(WPO),Mobile front-end developer,"HTML5, CSS3, Javascript and Kotlin",Front-end Developer,"Mobile developers are a type of software developer. They specialise in mobile technology such as building apps for Google's Android, Apple's iOS and Microsoft's Windows Phone platforms."
Python,Java,PHP,SQL,Git,HTML5,CSS3,Javascript,Ruby,Django,Go Lang,Perl,Apache,MongoDB,Kubernetes,Back-end Developer,"SQL, NoSQL or Database",Back-end Developer,"Back-end developers are the experts who build and maintain the mechanisms that process data and perform actions on websites. Unlike front-end developers, who control everything you can see on a website, back-end developers are involved in data storage, security, and other server-side functions that you cannot see."
PHP,Python,.Net,HTML5,CSS3,SAS,Ruby,Javascript,Java,Database,C#,,,,,Back-end Engineer,"SQL, NoSQL or Database",Back-end Developer,"A backend engineer is responsible for designing, building, and maintaining the server-side of web applications. In other words, a backend engineer's primary responsibility is to build the structure of a software application. They set the software team's foundations of what they need to do to achieve the main goals."
Database,SQL,Java,SQL Server,SAP,MongoDB,CouchDB,Software Development Life Cycle (SDLC),SSIS,Data Analysis,ETL,Javascript,,,,SQL Developer,"SQL, NoSQL or Database",Back-end Developer,"SQL Developers are primarily tasked with creating, developing and maintaining SQL databases whilst also ensuring their performance and stability. They are also primarily responsible for creating database tables, structures, schemas and dictionaries."
SQL,Json,PostGIS,Perl,Python,C++,Ruby,Tcl,Java,,,,,,,Postgre SQL,"SQL, NoSQL or Database",Back-end Developer,"PostgreSQL is used as the primary data store or data warehouse for many web, mobile, geospatial, and analytics applications."
Java,PHP,SQL,SAP,Javascript,C#,ETL,MongoDB,Data analysis,,,,,,,MySQL Developer,"SQL, NoSQL or Database",Back-end Developer,"SQL Developer provides powerful editors for working with SQL, PL/SQL, Stored Java Procedures, and XML. Run queries, generate execution plans, export data to the desired format (XML, Excel, HTML, PDF, etc.), execute, debug, test, and document your database programs, and much more with SQL Developer."
Python,Java,Data Science,Apache,Azure,C++,SQL,SAS,Matlab,Bigdata,Linux,Statistics,Machine learning,,,Data mining engineer,Data Science,Data Scientist,Data engineers implement methods to improve data reliability and quality. They combine raw information from different sources to create consistent and machine-readable formats. They also develop and test architectures that enable data extraction and transformation for predictive or prescriptive modeling.
Statistics,Database,SQL Server,Pig,Hive HQL,Data Science,Python,Java,C++,Linux,Machine learning,Data Visualization,,,,Data Architect,Data Science,Data Scientist,"Data architects are IT professionals who leverage their computer science and design skills to review and analyze the data infrastructure of an organization, plan future databases, and implement solutions to store and manage data for organizations and their users."
Hadoop,Hive HQL,HBase,Pig,Java,Data Science,JavaScript,Flume,HDFS,Kafka,Sqoop,Machine learning,,,,Hadoop Engineer,Data Science,Data Scientist,Hadoop developers are responsible for developing and coding Hadoop applications. Hadoop is an open-source framework that manages and stores big data applications that run within-cluster systems. Essentially a hadoop developer creates applications to manage and maintain a company's big data.
